,ID,age,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G3,school_MS,sex_M,famsize_LE3,activities_yes,higher_yes,internet_yes,romantic_yes
95,117,17,1,3,3,3,3,1,3,5,2,8,1,1,0,1,1,1,1
96,118,17,1,0,5,3,2,1,2,3,18,6,0,0,0,0,1,1,0
97,120,16,2,0,2,3,3,2,2,4,2,12,0,0,0,0,1,1,0
98,121,18,1,0,5,4,4,3,4,2,8,10,1,0,0,0,1,1,0
99,122,16,4,0,1,2,1,1,1,1,4,11,1,0,1,1,0,0,1
100,123,16,3,0,5,3,3,1,1,5,4,14,0,1,0,1,1,1,0
101,124,16,2,0,5,2,1,1,1,2,0,0,1,1,0,1,1,1,0
102,125,16,1,0,4,3,2,2,4,5,0,11,0,1,0,0,1,1,0
103,126,17,2,0,2,3,4,1,1,1,0,15,1,0,1,1,1,1,1
104,127,16,2,0,2,3,5,1,4,3,6,13,0,0,1,0,1,1,0
105,129,18,3,0,5,3,3,1,3,4,0,15,1,0,0,0,1,0,0
106,130,17,2,1,5,2,4,1,4,5,20,8,0,1,0,1,1,1,0
107,131,18,3,0,5,4,3,2,3,1,7,14,0,0,0,0,1,1,1
108,132,15,1,0,5,5,5,3,2,5,0,12,0,1,0,0,1,1,0
109,134,15,1,0,4,2,2,1,2,5,2,11,0,1,0,0,1,1,0
110,135,15,3,0,4,2,1,2,3,3,2,13,0,0,0,1,1,1,1
111,137,17,2,0,4,3,3,1,2,5,4,13,1,0,0,1,1,1,0
112,138,15,1,0,1,5,1,3,5,5,0,14,1,0,0,0,1,1,1
113,139,16,1,0,3,4,4,3,3,1,2,13,0,0,1,0,1,1,0
114,141,18,3,0,5,4,5,1,4,3,0,13,1,0,1,0,1,1,1
115,142,15,1,0,3,5,2,1,1,3,10,19,0,1,1,0,1,1,0
116,143,16,1,0,4,5,5,5,5,4,14,5,0,1,0,1,1,1,0
117,144,16,2,3,4,3,5,1,1,3,0,0,0,0,0,1,1,1,1
118,145,15,4,0,3,4,3,1,1,1,8,10,0,1,0,1,1,1,0
119,146,16,1,0,3,3,2,1,3,3,2,12,0,1,0,1,1,0,0
120,148,18,2,1,4,3,3,1,3,5,8,5,0,1,1,0,1,1,1
121,149,16,2,0,5,3,2,1,3,2,5,11,1,1,1,0,1,0,0
122,150,16,2,0,5,3,3,1,1,1,0,10,0,0,0,1,1,1,0
123,151,16,1,0,3,4,4,1,4,5,18,13,0,1,0,1,1,1,0
124,152,16,1,1,4,4,4,3,5,5,6,10,0,1,1,1,1,0,1
125,153,16,2,0,4,3,2,1,1,3,2,16,0,1,0,1,1,1,1
126,154,15,2,0,4,3,3,1,1,5,2,13,0,0,1,0,1,1,0
127,156,18,1,0,4,2,3,1,2,1,8,10,0,1,1,1,1,1,0
128,157,16,2,0,5,3,3,1,1,1,2,14,0,0,0,1,1,1,0
129,158,17,3,0,4,3,3,1,1,3,6,12,0,0,0,0,1,1,0
130,159,16,1,0,4,1,2,2,5,5,0,12,1,1,1,0,1,1,0
131,161,16,1,0,5,5,5,5,5,5,6,11,0,0,0,1,1,1,1
132,163,15,1,0,3,3,4,2,3,5,0,12,0,0,0,0,1,1,0
133,164,17,1,0,4,4,4,1,1,5,2,17,0,0,0,1,1,1,0
134,166,18,2,1,5,3,3,1,1,4,16,7,0,0,0,1,1,1,1
135,167,16,2,0,5,4,5,4,5,3,0,0,1,1,0,1,1,0,1
136,168,17,3,0,4,4,2,1,1,4,0,12,0,0,0,1,1,1,1
137,169,15,3,0,4,2,2,1,1,5,2,13,0,0,0,1,1,1,0
138,170,17,2,0,4,3,2,1,1,5,0,15,0,0,1,1,1,1,1
139,171,18,1,0,5,4,4,1,1,1,4,14,0,0,0,1,1,1,1
140,172,16,1,0,4,5,5,2,4,5,0,9,1,1,1,1,1,1,0
141,173,17,2,0,4,3,5,2,4,4,4,16,0,0,0,1,1,1,0
142,174,18,2,0,3,1,2,1,3,2,2,15,0,0,0,0,1,1,1
143,176,15,4,0,3,3,3,1,1,3,0,10,0,1,0,0,1,1,0
144,179,17,2,0,3,1,3,1,5,3,4,10,0,1,0,0,1,0,0
145,180,19,2,0,4,5,3,1,2,5,0,11,0,1,0,1,1,0,1
146,181,15,1,0,5,4,1,1,1,1,0,10,0,1,0,0,1,1,0
147,183,15,4,0,4,3,4,1,1,4,2,12,0,1,1,1,1,1,0
148,184,15,2,0,4,3,3,2,2,5,4,13,0,1,0,0,1,0,0
149,185,16,2,0,4,3,3,1,1,5,0,11,1,1,0,0,1,0,0
150,186,17,3,0,4,2,2,1,2,3,0,15,0,0,0,0,1,1,0
151,187,15,2,0,5,3,4,1,2,2,0,14,1,1,1,1,1,1,0
152,188,18,2,0,1,3,1,1,1,2,4,10,1,0,0,0,1,1,1
153,190,17,1,0,4,5,5,1,3,2,0,10,1,1,0,1,1,1,1
154,192,17,2,0,4,3,3,1,2,5,2,12,1,0,0,1,1,1,0
155,195,16,2,0,4,4,2,1,1,3,0,17,0,0,0,0,1,1,1
156,197,16,2,0,4,5,2,1,2,5,0,17,1,0,0,0,1,0,0
157,199,17,1,1,5,2,1,1,2,1,0,9,1,0,0,0,1,1,1
158,200,18,2,0,3,3,4,2,4,3,4,10,1,1,0,0,1,0,0
159,201,18,2,0,4,1,4,1,1,3,8,14,0,0,0,0,1,1,0
160,204,15,4,0,2,2,2,1,1,3,0,0,0,1,0,0,1,1,0
161,205,16,1,0,4,5,5,5,5,4,12,8,0,1,0,1,1,1,0
162,206,17,2,1,3,3,1,1,2,4,0,0,0,0,0,0,1,1,1
163,207,15,4,0,5,1,2,1,1,3,8,8,0,0,0,0,1,1,0
164,208,16,2,0,4,2,1,1,1,2,2,8,1,0,1,0,1,0,0
165,209,18,2,0,5,3,4,1,1,4,8,12,0,0,0,1,1,1,0
166,210,17,1,0,3,5,5,1,3,1,4,9,1,0,0,1,1,1,0
167,211,18,1,1,4,4,3,3,4,4,0,10,1,1,0,1,0,1,0
168,212,16,4,0,4,2,2,1,1,2,4,20,0,1,0,1,1,1,0
169,213,19,1,0,5,3,4,2,2,5,0,10,0,1,0,0,1,0,1
170,214,18,4,0,4,4,4,1,1,4,0,0,0,0,0,1,1,0,0
171,215,18,3,0,4,2,1,1,1,4,5,15,1,0,0,0,1,1,1
172,218,19,1,0,1,4,4,1,1,5,0,7,1,0,1,0,0,0,0
173,220,18,2,0,5,2,4,1,2,4,8,14,0,1,0,1,1,1,0
174,221,16,1,0,5,3,4,1,2,1,6,14,0,0,0,1,1,1,0
175,222,16,1,0,5,3,2,1,2,5,4,15,0,1,0,1,1,1,0
176,224,18,1,1,4,4,3,2,2,1,26,8,0,1,0,1,0,1,1
177,225,17,1,0,5,5,5,5,5,3,4,11,1,1,1,1,1,1,0
178,227,15,2,0,5,4,2,3,4,5,0,12,0,1,0,0,1,1,0
179,228,17,1,3,2,2,2,3,3,5,14,10,0,1,1,0,1,0,0
180,230,16,2,1,4,3,3,2,2,5,14,11,0,0,1,1,1,1,0
181,231,17,2,0,5,3,3,1,2,2,5,12,1,0,1,1,1,1,1
182,232,15,4,0,5,5,4,1,2,5,6,15,0,1,0,1,1,1,0
183,233,18,1,1,5,4,3,4,3,3,14,5,1,1,0,0,1,0,0
184,235,17,2,0,3,2,2,1,2,3,0,12,1,0,0,0,1,0,0
185,236,19,4,0,4,3,3,1,2,3,10,8,0,0,0,1,1,1,0
186,239,15,2,0,4,3,2,1,1,1,0,15,0,0,0,1,1,1,0
187,240,19,1,0,5,3,4,1,4,4,10,11,0,1,0,0,1,1,0
188,241,18,3,0,4,2,2,2,2,5,0,16,1,1,1,0,1,1,1
189,242,17,1,0,5,1,3,1,2,5,5,9,1,0,0,0,1,1,0
190,243,15,2,0,4,3,3,1,1,5,2,18,0,1,0,1,1,1,0
191,244,16,1,0,3,5,5,2,5,4,8,15,0,1,0,1,1,1,0
192,246,17,2,1,5,2,4,1,4,5,14,11,0,1,0,1,1,1,0
193,247,18,2,0,5,3,4,1,1,4,0,0,0,0,0,1,1,1,0
194,248,16,2,0,5,4,2,1,2,5,10,15,0,1,1,1,1,1,0
195,249,17,4,1,1,3,5,3,5,3,2,9,1,1,1,0,1,0,0
196,250,18,4,0,4,5,5,1,3,2,4,14,0,0,0,1,1,1,1
197,251,16,1,2,4,3,2,1,1,5,0,0,0,0,0,1,1,1,1
198,253,15,1,0,4,3,3,1,2,4,0,0,0,0,0,1,1,1,1
199,254,20,3,0,3,2,2,1,3,3,8,15,0,0,0,0,1,1,1
200,255,16,1,0,4,3,2,3,4,5,0,10,0,1,0,1,1,1,0
201,256,15,2,0,3,2,2,1,1,5,8,16,0,1,0,1,1,0,0
202,257,15,3,0,5,3,2,1,2,5,4,11,0,1,0,0,1,1,0
203,259,17,3,0,4,4,3,1,1,5,7,14,0,0,0,0,1,1,1
204,260,18,2,3,5,4,5,1,3,5,10,8,0,0,0,1,0,1,1
205,261,22,1,3,5,4,5,5,5,1,12,5,0,1,0,0,0,1,1
206,262,17,1,0,4,2,5,2,5,5,2,11,0,0,0,1,1,1,0
207,263,19,2,3,3,4,2,1,1,5,2,9,0,0,0,0,0,0,0
208,264,16,2,0,2,3,5,1,4,3,12,11,0,0,1,0,1,1,0
209,265,18,2,0,4,4,5,1,2,2,10,8,0,0,1,0,1,1,1
210,266,17,2,0,2,5,5,1,4,5,14,12,0,1,1,1,1,1,1
211,267,17,2,3,5,4,4,1,1,5,2,10,1,0,0,1,1,1,1
212,268,17,2,0,5,3,3,1,1,3,4,6,0,0,0,0,1,1,0
213,270,15,1,1,4,4,3,1,2,2,4,8,1,0,1,0,1,1,1
214,271,17,1,0,3,2,2,1,1,5,0,9,1,0,0,0,1,0,1
215,272,15,4,0,2,2,2,1,1,3,6,11,0,1,0,0,1,1,0
216,273,17,2,0,4,2,3,2,2,2,2,14,0,0,1,1,1,1,0
217,274,15,4,0,1,3,5,3,5,1,6,13,0,1,0,1,1,1,1
218,275,16,1,0,4,3,2,3,4,5,8,10,0,1,0,1,1,1,0
219,276,17,2,0,5,3,3,1,3,3,0,11,0,1,1,0,1,1,0
220,277,17,1,0,5,2,1,1,2,3,12,10,0,0,1,0,1,0,0
221,278,18,1,0,3,3,4,4,5,4,2,12,0,1,1,1,1,1,1
222,279,16,1,0,5,3,5,1,2,5,4,11,0,0,0,0,0,1,0
223,281,17,2,0,5,2,2,1,2,5,14,17,0,0,0,0,1,1,1
224,282,16,1,0,4,2,2,1,2,3,2,15,0,1,0,0,1,0,0
225,283,18,2,2,4,4,5,1,3,3,9,8,1,1,0,1,0,1,0
226,284,16,2,0,1,2,2,1,2,1,14,12,0,0,0,0,1,1,0
227,285,17,2,1,4,5,4,1,2,5,0,10,1,0,0,0,1,0,1
228,287,16,2,0,5,3,3,1,1,1,0,14,1,0,0,1,1,1,0
229,288,17,2,0,4,4,4,1,3,1,2,15,0,0,1,0,1,1,0
230,290,15,2,0,4,2,1,1,2,2,0,14,1,0,0,0,1,0,0
231,291,16,1,0,3,2,1,1,4,5,16,11,0,0,0,0,1,1,0
232,292,16,4,0,5,2,3,1,3,3,0,11,0,0,0,0,1,1,1
233,293,18,2,0,3,2,2,4,2,5,0,0,1,0,0,0,1,1,1
234,294,16,3,0,5,3,3,1,1,5,2,18,0,1,0,1,1,1,0
235,295,18,2,0,4,3,3,1,3,5,11,15,0,1,1,1,1,1,1
236,301,16,4,0,5,3,5,1,1,5,6,13,0,0,0,1,1,1,0
237,303,15,1,0,4,1,3,1,1,4,0,16,1,0,0,0,1,1,0
238,304,17,2,0,5,4,2,2,3,5,0,17,0,0,0,1,1,0,0
239,305,17,1,3,4,5,2,1,1,2,10,8,0,1,0,1,0,0,0
240,306,16,2,0,3,4,4,1,4,5,2,11,0,0,0,1,1,1,0
241,307,18,3,0,5,3,2,1,1,4,0,18,1,0,1,0,1,1,0
242,309,17,1,1,4,2,4,2,3,2,30,16,0,0,0,0,1,1,0
243,310,17,1,0,5,1,2,3,3,5,2,12,1,1,1,1,1,0,1
244,311,16,2,0,5,4,3,1,2,1,2,15,0,0,1,1,1,1,0
245,312,16,2,0,4,2,3,1,1,3,0,16,0,0,0,0,1,1,1
246,313,18,2,0,4,1,1,1,1,5,75,9,0,0,0,0,0,1,1
247,314,16,2,0,3,4,5,1,2,5,4,11,1,1,0,0,1,0,0
248,315,17,1,0,2,4,4,3,5,5,5,10,1,0,0,1,1,0,0
249,316,16,1,0,5,4,5,1,1,3,0,0,0,1,1,1,1,1,0
250,317,17,2,0,4,3,3,1,1,1,2,10,0,0,0,0,1,1,1
251,318,15,3,0,5,3,2,1,2,5,2,9,0,1,0,0,1,1,0
252,319,15,1,0,4,5,5,1,3,1,6,13,0,0,0,1,1,1,0
253,322,16,2,2,4,4,4,1,3,5,0,10,0,1,1,0,1,0,1
254,323,16,2,0,5,3,3,1,2,5,0,13,0,0,0,1,1,1,1
255,325,16,1,0,3,1,3,1,3,1,0,8,1,0,0,1,1,1,0
256,328,18,1,1,4,4,5,2,4,5,0,8,0,1,0,0,0,1,0
257,330,16,2,0,4,3,5,2,4,4,4,10,0,1,0,0,0,1,0
258,331,17,2,0,5,4,4,3,4,5,2,10,0,1,0,1,1,1,1
259,332,17,2,0,5,5,4,1,1,1,0,11,1,0,0,0,1,1,0
260,333,16,1,0,4,2,5,1,2,5,0,16,1,0,0,1,1,0,1
261,334,18,2,0,3,1,2,1,2,1,4,13,0,0,0,1,1,1,1
262,335,15,2,0,5,5,5,1,3,5,11,10,1,1,0,1,1,0,0
263,338,18,2,1,5,3,1,1,1,5,16,10,0,0,1,0,1,1,1
264,339,17,1,0,4,4,5,1,2,5,0,11,1,0,0,1,1,1,1
265,340,16,1,0,5,4,3,1,1,5,4,12,0,1,0,0,1,1,0
266,341,15,3,0,3,2,2,1,1,5,2,15,0,0,0,1,1,1,1
267,342,19,2,1,4,4,3,1,3,3,18,10,0,0,1,1,1,1,0
268,344,17,2,0,5,3,5,4,5,3,15,12,0,1,1,0,1,1,1
269,345,15,1,0,5,1,2,1,1,1,3,13,1,0,0,0,1,0,0
270,347,18,2,0,4,3,2,1,4,5,11,11,0,1,0,1,1,1,1
271,349,15,2,0,4,3,2,2,3,3,6,12,0,0,1,0,1,1,0
272,350,16,1,0,2,4,3,2,3,4,4,10,1,1,1,1,1,1,0
273,351,17,1,0,4,3,3,2,2,1,5,11,1,0,0,0,1,0,1
274,353,15,2,0,4,4,4,1,1,1,2,8,0,1,0,1,1,0,0
275,354,17,4,0,4,2,3,1,1,4,2,17,0,0,1,1,1,1,0
276,355,15,2,0,4,3,3,1,1,2,1,11,1,0,0,1,1,1,0
277,356,18,2,0,5,4,5,1,3,5,4,14,0,1,0,1,1,1,1
278,357,16,2,0,5,4,3,1,2,1,2,16,0,0,1,1,1,1,0
279,358,15,2,0,4,3,2,2,3,4,2,10,0,0,0,1,1,1,0
280,359,15,2,0,5,4,4,1,1,1,0,18,0,1,0,1,1,1,0
281,360,15,1,0,3,3,4,2,3,5,0,11,0,0,0,0,1,1,0
282,361,17,3,0,3,3,2,2,2,3,3,11,0,0,1,1,1,1,0
283,362,15,2,0,4,4,2,1,2,5,0,11,0,0,0,0,1,1,0
284,363,19,2,0,3,4,1,1,1,2,20,13,0,0,0,0,0,1,1
285,364,17,1,0,3,2,2,1,2,5,8,11,0,0,1,0,1,1,0
286,365,16,4,0,2,2,1,1,1,5,0,14,1,0,0,1,1,1,0
287,366,15,2,0,5,4,5,2,4,4,8,9,1,1,0,1,1,0,1
288,367,16,1,0,3,5,5,2,5,4,8,18,0,1,0,1,1,1,0
289,368,16,2,0,2,3,1,1,1,3,2,17,0,0,0,0,1,1,0
290,369,16,2,0,5,3,3,1,3,2,6,10,0,1,0,0,1,1,0
291,370,16,2,0,1,3,2,1,1,1,4,15,0,0,0,1,1,1,1
292,371,16,2,0,4,4,5,5,5,5,16,11,0,1,0,1,1,1,1
293,372,16,2,0,4,3,3,1,1,2,10,13,0,0,0,0,1,1,0
294,373,17,1,0,5,2,2,1,1,4,0,10,0,1,0,0,0,0,0
295,374,18,2,0,4,1,1,1,1,5,15,10,0,0,0,0,0,1,1
296,375,17,2,1,5,4,4,3,4,5,8,8,1,1,0,1,1,1,1
297,377,18,1,0,5,4,2,1,2,5,6,15,0,1,0,0,1,1,0
298,378,18,2,1,4,4,4,2,4,5,15,8,0,1,0,1,1,1,0
299,379,16,3,0,4,4,3,1,1,4,0,16,0,1,0,1,1,1,1
300,380,17,2,0,3,3,3,1,3,3,6,9,0,0,0,0,1,1,1
301,381,19,2,1,4,2,4,2,2,3,0,0,0,0,1,1,1,0,1
302,382,17,2,0,4,5,5,1,3,2,4,11,1,1,0,1,1,1,1
303,386,18,3,0,5,4,5,2,3,5,0,14,0,1,0,0,1,1,1
304,387,17,2,0,3,5,2,2,2,1,2,14,0,1,0,1,1,0,1
305,388,16,1,0,5,4,3,1,1,5,0,15,0,1,0,0,1,1,0
306,389,17,3,0,4,3,3,1,2,4,4,15,0,0,0,0,1,1,1
307,390,15,2,0,5,5,1,1,1,5,0,13,0,1,0,1,1,1,0
308,391,17,1,0,3,4,4,1,3,5,12,12,0,0,1,0,1,1,1
309,393,15,1,0,5,4,3,2,4,5,8,12,0,1,1,0,1,1,1
310,396,18,2,0,5,3,3,1,2,1,2,15,0,0,0,1,1,1,0
311,397,17,2,0,4,4,4,4,4,4,0,11,0,1,1,1,1,1,0
312,399,18,1,0,3,3,2,1,2,3,2,14,1,1,1,0,1,1,1
313,400,18,2,0,4,3,3,1,3,5,8,10,0,1,1,0,1,1,1
314,401,18,2,0,4,2,2,1,1,3,0,17,0,0,1,1,1,1,0
315,404,15,2,0,5,5,1,1,1,5,0,15,0,1,0,1,1,1,0
316,405,17,2,0,4,3,5,1,2,4,0,11,1,0,0,0,1,1,0
317,407,16,1,0,5,5,5,5,5,5,0,16,0,0,0,1,1,1,1
318,409,18,2,0,5,2,3,1,2,3,2,11,1,0,1,0,1,0,1
319,410,16,2,0,3,3,3,2,3,2,0,12,0,0,1,0,1,0,0
320,411,17,1,1,3,3,2,2,2,5,8,9,0,1,1,1,0,1,1
321,412,16,2,0,4,4,5,1,3,3,0,9,1,0,1,1,0,1,0
322,413,15,2,0,4,3,2,1,1,5,2,9,0,1,1,1,1,1,0
323,414,17,3,0,4,3,3,1,2,4,4,14,0,0,0,0,1,1,1
324,415,18,2,0,4,1,1,1,1,4,0,12,1,0,0,0,0,0,0
325,416,16,2,0,4,3,5,1,1,5,2,10,0,0,0,0,1,0,1
326,418,16,3,0,3,2,3,1,2,2,6,14,0,0,0,1,1,1,0
327,419,16,1,0,5,3,2,1,2,5,0,12,0,1,0,1,1,1,0
328,420,17,2,0,4,5,4,2,3,1,10,9,1,0,0,1,1,1,0
329,421,17,2,0,3,1,3,1,5,3,6,10,0,1,0,0,1,0,0
330,422,17,2,0,4,1,4,1,1,1,2,13,0,0,0,0,1,0,0
331,426,17,2,0,4,3,4,1,2,5,4,11,0,0,0,0,1,0,0
332,427,16,2,0,4,3,5,1,5,2,2,16,0,0,0,1,1,1,0
333,428,18,2,0,4,3,4,1,4,5,0,15,1,0,1,0,1,0,1
334,429,18,2,0,4,3,5,1,2,3,0,0,0,0,0,0,0,1,1
335,431,16,2,0,4,4,5,1,1,4,4,11,1,0,0,0,1,1,0
336,434,16,2,0,4,5,4,1,2,1,2,15,1,0,0,0,1,1,0
337,435,17,1,3,5,4,5,1,2,5,0,0,0,1,0,0,1,1,0
338,436,17,1,0,5,2,2,1,1,2,2,13,0,1,0,0,1,1,0
339,437,17,2,0,5,4,5,2,4,5,0,0,0,1,0,0,1,0,0
340,439,15,1,0,4,4,4,2,4,5,2,10,0,1,1,1,1,0,0
341,441,18,2,0,5,5,4,3,5,2,16,8,0,1,0,0,0,1,0
342,442,17,3,0,4,3,4,1,1,5,12,12,0,0,0,1,1,0,1
343,443,17,3,0,3,4,3,2,3,5,1,15,0,0,0,0,1,1,0
344,444,16,1,0,4,3,3,3,4,3,10,9,0,1,0,1,1,1,1
